5,82,72,0,26,68,13,35,17,20,15,33,15,16,13,2,20,1
8,49,78,0,14,54,3,20,3,9,11,19,4,11,7,4,13,-1
12,66,78,0,19,50,10,26,8,9,11,21,8,26,8,1,18,-1
16,55,65,0,20,59,6,21,9,15,15,26,12,13,11,1,17,1
19,58,78,0,20,60,7,22,10,15,14,32,11,15,5,2,19,-1
23,81,78,0,18,62,5,19,17,22,16,13,9,14,6,1,15,-1
26,57,78,0,13,42,5,13,16,25,14,32,7,27,2,1,13,-1
27,50,72,0,16,45,9,22,9,19,5,23,13,12,12,0,11,1
53,76,78,0,14,54,6,24,2,2,9,15,9,20,9,0,13,-1
54,57,65,0,20,57,8,25,9,12,11,29,13,18,8,2,16,1
58,48,72,0,17,56,6,17,8,9,17,31,8,14,1,3,16,1
61,56,78,0,12,62,2,27,6,6,18,27,4,17,4,1,15,-1
64,83,78,0,26,58,10,28,4,7,6,20,19,13,9,1,17,-1
71,53,72,0,19,46,5,12,10,17,15,25,9,21,5,2,13,1
75,68,65,0,25,55,2,17,16,22,12,32,8,21,8,3,22,1
81,59,78,0,17,55,4,16,9,11,15,18,11,21,9,5,16,-1
88,49,78,0,15,53,5,27,6,11,15,16,6,17,11,0,16,-1
89,68,78,0,19,53,7,19,13,15,10,21,12,18,9,2,20,-1
95,68,78,0,14,56,4,17,5,12,14,23,8,23,7,2,12,-1
96,65,78,0,18,55,4,12,8,9,11,18,10,20,9,1,20,-1
102,62,78,0,18,48,4,14,11,14,6,14,9,23,12,1,19,-1
103,60,78,0,22,53,8,16,6,10,5,28,14,12,7,2,18,-1
109,77,78,0,26,58,6,18,13,17,12,15,13,14,9,0,17,-1
110,59,65,0,23,59,10,28,3,6,20,20,17,17,13,1,10,1
116,58,72,0,22,46,2,8,12,21,10,26,10,18,5,2,17,1
117,58,78,0,22,58,6,14,5,10,12,16,12,16,8,2,20,-1
123,60,78,0,16,54,6,19,10,14,12,23,9,16,11,5,14,-1
124,80,78,0,18,48,8,20,7,9,5,22,12,19,6,1,13,-1
