11,68,78,0,19,55,4,19,15,26,14,29,8,21,3,3,18,-1
13,102,72,0,39,70,14,24,10,16,14,40,28,20,4,6,17,1
19,77,78,0,20,59,2,17,13,25,12,28,12,14,6,1,17,-1
22,74,65,0,27,60,11,23,9,11,8,28,20,16,5,3,16,1
30,59,72,0,20,51,5,15,14,21,12,29,7,12,6,2,10,1
33,70,78,0,21,63,7,27,12,19,12,21,14,13,7,2,17,-1
40,55,78,0,18,59,10,25,8,10,11,36,10,25,6,2,16,-1
48,81,78,0,26,63,5,18,17,24,14,18,11,17,8,1,22,-1
50,79,78,0,19,52,0,10,7,8,12,18,5,23,2,2,15,-1
56,66,78,0,24,52,9,28,9,13,4,30,16,16,8,4,13,1
57,62,65,0,23,57,5,17,11,15,12,27,11,16,8,0,14,1
62,74,78,0,19,62,4,22,2,3,8,21,12,15,5,4,13,-1
65,69,78,0,24,50,6,16,12,13,11,19,12,20,3,1,21,-1
69,61,65,0,23,53,7,21,8,11,8,24,15,17,5,6,19,1
72,62,65,0,23,56,5,18,11,14,7,30,10,18,8,3,18,1
75,77,78,0,25,55,7,22,10,14,8,17,13,19,8,6,16,-1
77,80,78,0,25,63,6,21,7,8,13,24,10,15,7,2,19,-1
80,79,78,0,15,49,6,24,15,21,8,20,9,18,5,7,18,-1
83,65,65,0,22,62,10,26,11,14,13,34,16,17,2,4,16,1
87,74,78,0,20,61,6,20,10,14,10,25,9,16,8,7,14,-1
92,85,78,0,17,48,5,17,6,13,4,17,14,15,5,1,11,-1
96,57,72,0,20,40,6,15,11,11,2,23,13,17,6,3,17,1
100,70,78,0,11,52,2,11,12,18,8,24,4,13,5,1,15,-1
103,54,65,0,20,49,8,19,6,8,7,31,10,9,3,3,7,1
108,51,72,0,17,43,2,11,15,22,11,22,11,13,8,5,13,1
111,67,78,0,17,43,7,17,9,11,10,20,13,23,2,4,16,-1
114,58,72,0,20,50,9,25,9,10,7,28,12,15,5,2,14,1
117,59,78,0,18,50,4,22,8,12,8,30,11,20,5,0,19,-1
123,60,78,0,17,53,3,23,12,15,10,25,6,14,5,2,19,-1
