5,96,65,0,38,64,7,19,13,16,9,31,11,18,12,7,23,1
8,90,78,0,30,69,7,20,16,22,10,22,17,7,5,6,18,-1
11,91,78,0,30,72,7,19,6,13,17,17,11,11,6,9,14,-1
13,73,78,0,21,67,4,19,10,16,20,25,4,15,8,1,14,-1
19,97,78,1,27,61,3,13,35,46,12,28,12,10,4,3,23,-1
21,80,78,0,27,57,4,12,11,17,12,27,16,20,4,7,17,-1
28,93,65,0,33,69,8,25,19,28,14,30,10,13,4,7,19,1
30,75,72,0,31,58,4,15,9,12,6,27,13,13,6,4,7,1
44,68,78,0,17,52,5,19,20,26,9,29,8,19,4,4,18,-1
54,84,78,0,31,68,3,13,9,16,16,26,12,15,7,8,17,-1
55,76,78,0,29,65,7,16,11,13,16,31,12,19,4,7,15,1
58,102,78,0,38,69,10,22,13,20,14,29,25,17,4,3,16,-1
61,77,65,1,31,70,5,14,10,16,16,30,13,19,9,6,19,1
66,89,72,0,29,55,7,19,24,35,10,41,20,18,5,7,17,1
68,72,78,0,28,61,3,12,11,19,15,22,11,14,7,6,15,-1
73,99,65,0,39,74,15,26,6,7,13,33,26,18,6,5,15,1
75,76,78,0,28,65,5,21,13,17,11,22,8,18,10,7,19,-1
80,84,72,0,29,70,11,28,15,20,14,31,15,12,6,5,21,1
82,93,78,0,24,58,7,22,27,41,12,24,14,14,8,6,15,-1
88,85,78,0,30,73,7,20,12,21,19,30,14,16,9,3,16,-1
90,75,78,0,21,63,2,17,5,15,17,16,9,13,9,3,16,-1
94,84,78,0,22,63,4,21,23,30,16,29,8,17,6,6,21,-1
96,75,72,0,25,53,5,14,20,32,10,25,17,16,5,9,15,1
101,76,72,1,24,68,6,21,22,33,21,24,8,22,12,7,17,1
103,75,78,0,26,67,9,29,12,26,20,25,11,11,5,5,25,-1
108,96,78,1,30,67,8,22,19,26,17,24,13,17,6,6,25,-1
110,70,78,0,20,55,5,18,16,25,11,25,4,11,3,1,18,-1
116,65,78,0,23,62,1,15,14,20,13,26,17,18,9,4,17,-1
121,65,78,0,20,56,5,20,12,19,13,26,12,18,2,4,23,-1
