12,78,65,0,28,61,9,24,13,23,17,21,14,6,4,1,22,1
15,81,72,0,28,55,7,21,18,25,12,13,12,11,10,3,21,1
20,76,72,0,27,67,7,25,15,21,14,20,16,17,10,4,19,1
23,79,78,0,29,67,12,28,9,14,15,26,19,11,10,4,18,1
25,77,78,1,24,70,10,35,13,18,21,15,16,15,5,3,23,-1
26,81,78,0,30,59,8,19,13,17,17,20,18,15,7,2,13,1
33,73,72,0,25,54,9,22,14,17,13,22,12,16,4,4,11,1
41,84,78,0,27,59,10,23,19,35,12,23,8,16,6,5,25,-1
44,65,78,0,25,60,9,27,3,3,13,21,15,12,3,2,13,-1
47,72,72,0,26,51,9,18,11,14,10,24,12,23,13,0,19,1
50,77,65,0,28,61,12,31,9,13,13,26,14,13,6,2,17,1
54,63,65,0,22,54,7,24,12,17,15,22,10,19,11,2,15,1
56,79,78,0,26,61,8,25,6,8,8,27,14,13,3,5,16,-1
60,79,65,0,28,59,7,21,16,22,9,30,17,14,10,3,20,1
62,92,65,4,32,77,14,35,14,20,15,27,18,16,14,5,18,1
66,80,78,0,22,56,12,35,10,12,9,25,11,16,5,5,15,-1
68,85,72,0,28,49,9,17,20,28,10,18,17,9,12,1,20,1
76,57,65,0,23,57,8,24,3,6,9,27,11,14,10,5,15,1
82,83,72,0,30,54,11,30,12,17,8,17,20,14,10,1,10,1
87,72,78,0,26,59,9,26,4,9,12,17,16,10,6,4,18,-1
90,85,78,0,27,53,11,29,17,27,5,24,19,12,7,2,25,-1
94,78,72,0,31,60,12,26,4,6,11,16,23,13,10,1,5,1
97,59,72,0,17,50,10,29,15,22,13,28,14,12,7,1,14,1
101,78,78,0,24,60,10,30,11,19,14,21,18,10,5,3,18,-1
103,78,78,0,25,58,11,25,7,12,8,25,10,18,4,2,16,-1
108,77,72,0,27,52,9,25,14,19,8,18,19,10,5,5,18,1
110,93,72,0,32,55,14,30,15,16,7,18,21,19,13,4,14,1
114,64,72,0,23,56,12,31,6,10,15,24,13,13,6,2,16,1
117,66,65,1,23,55,7,19,13,18,15,23,15,17,10,5,14,1
127,61,78,0,18,46,8,20,17,25,7,24,14,14,3,2,15,1
128,79,78,0,29,56,9,19,12,19,11,14,14,4,5,1,14,1
137,77,78,0,22,46,8,21,7,16,4,17,12,11,6,2,18,-1
